Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
1;Arbeitszeit;Darf der Chef die Frühschicht ohne BR-Zustimmung verlängern?;Ja, bei viel Arbeit;Nein (Mitbestimmung);Nur gegen 50% Zuschlag;Nur bei Ansage 24h vorher;B;§ 87 Abs. 1 Nr. 3 BetrVG;Die vorübergehende Verlängerung der betriebsüblichen Arbeitszeit ist zwingend mitbestimmungspflichtig.
2;Stahl;Wer wählt den Arbeitsdirektor im Montan-Bereich?;Der Vorstand allein;Der Aufsichtsrat (BR-Veto);Die Gewerkschaft;Der Werksleiter;B;§ 13 MontanMitbestG;Im Montan-Bereich kann der Arbeitsdirektor nicht gegen die Mehrheit der Arbeitnehmervertreter im Aufsichtsrat bestellt werden.
3;Urlaub;Was passiert bei Krankheit im Urlaub?;Pech gehabt;Tage werden gutgeschrieben;Urlaub wird verlängert;Lohnkürzung;B;§ 9 BUrlG;Durch ärztliches Zeugnis nachgewiesene Tage der Arbeitsunfähigkeit werden auf den Jahresurlaub nicht angerechnet.
4;Kuendigung;Was ist die Frist für eine Kündigungsschutzklage?;1 Woche;3 Wochen;3 Monate;6 Monate;B;§ 4 KSchG;Die Klage muss innerhalb von drei Wochen nach Zugang der schriftlichen Kündigung beim Arbeitsgericht erhoben werden.
5;Arbeitszeit;Wie lange muss die Ruhepause zwischen zwei Schichten sein?;8 Stunden;10 Stunden;11 Stunden;12 Stunden;C;§ 5 ArbZG;Die Arbeitnehmer müssen nach Beendigung der täglichen Arbeitszeit eine ununterbrochene Ruhezeit von mindestens 11 Stunden haben.
6;Rechte;Darf der BR-Vorsitzende allein Entscheidungen treffen?;Ja;Nein (nur im Namen des Gremiums);Nur bei Eile;Nur im Urlaub;B;§ 26 BetrVG;Der Vorsitzende vertritt den Betriebsrat nur im Rahmen der von ihm gefassten Beschlüsse.
7;Versetzung;Ab welcher Dauer gilt eine Zuweisung als Versetzung?;1 Tag;1 Woche;Mehr als 1 Monat;Mehr als 3 Monate;C;§ 95 Abs. 3 BetrVG;Eine Versetzung ist die Zuweisung eines anderen Arbeitsbereichs, die die Dauer von einem Monat voraussichtlich überschreitet.
8;Geheimhaltung;Darf man BR-Infos dem Ehepartner erzählen?;Ja klar;Nein (Verschwiegenheitspflicht);Nur bei Stress;Nur nach der Wahl;B;§ 79 BetrVG;BR-Mitglieder sind verpflichtet, Betriebs- oder Geschäftsgeheimnisse, die als solche bezeichnet sind, nicht zu offenbaren.
9;Ausschuesse;Wann MUSS ein Betriebsausschuss gebildet werden?;Ab 3 BR-Mitgliedern;Ab 9 BR-Mitgliedern;Immer;Ab 15 BR-Mitgliedern;B;§ 27 BetrVG;Hat ein Betriebsrat neun oder mehr Mitglieder, so bildet er einen Betriebsausschuss zur Erledigung der laufenden Geschäfte.
10;Stahl;Was ist das Besondere an der Montan-Parität?;Gleiche Anzahl AG/AN im AR;AG hat mehr Stimmen;BR entscheidet alles;Gilt nur für Azubis;A;MontanMitbestG;In Montan-Unternehmen besteht der Aufsichtsrat aus einer gleichen Anzahl von Vertretern der Anteilseigner und der Arbeitnehmer sowie einem neutralen Mitglied.
11;Arbeitsschutz;Wer zahlt die Sicherheitsschuhe im Werk?;Der Kollege selbst;50/50;Der Arbeitgeber komplett;Die Krankenkasse;C;§ 3 ArbSchG;Der Arbeitgeber ist verpflichtet, die erforderlichen Mittel für Maßnahmen des Arbeitsschutzes bereitzustellen; Kosten dürfen nicht den Beschäftigten auferlegt werden.
12;Abmahnung;Muss man eine Abmahnung unterschreiben?;Ja Pflicht;Nein (nur Erhalt bestätigen);Nur wenn man zustimmt;Nur mit Anwalt;B;BetrVG allgemein;Es gibt keine gesetzliche Pflicht, eine Abmahnung inhaltlich zu unterschreiben. Eine Empfangsquittung reicht aus.
13;Urlaub;Darf der BR die allgemeine Urlaubsplanung mitbestimmen?;Nein;Ja (§87 BetrVG);Nur bei Streik;Nur bei Azubis;B;§ 87 Abs. 1 Nr. 5 BetrVG;Der BR hat bei der Aufstellung allgemeiner Urlaubsgrundsätze und des Urlaubsplans zwingend mitzubestimmen.
14;Betriebsvereinbarung;Wie lange wirkt eine BV nach?;Gar nicht;Bis eine neue Regelung gilt;Maximal 1 Monat;Genau 1 Jahr;B;§ 77 Abs. 6 BetrVG;Nach Ablauf einer BV gelten ihre Regelungen in Angelegenheiten, in denen ein Spruch der Einigungsstelle die Einigung ersetzen kann, weiter, bis sie durch eine andere Abmachung ersetzt werden.
15;Kuendigung;Wann muss der BR zur Kündigung angehört werden?;Nach der Kündigung;Gleichzeitig;Vor der Kündigung;Gar nicht;C;§ 102 Abs. 1 BetrVG;Der Arbeitgeber hat vor jeder Kündigung den Betriebsrat anzuhören, andernfalls ist die Kündigung unwirksam.
16;Arbeitszeit;Sind Raucherpausen gesetzliche Arbeitszeit?;Ja;Nein;Nur in der Spätschicht;Nur für den BR;B;§ 2 ArbZG;Arbeitszeit ist die Zeit von Beginn bis zum Ende der Arbeit ohne die Ruhepausen. Raucherpausen zählen rechtlich als Ruhepause.
17;Stahl;Darf der BR bei der Wahl des Ofen-Teams mitreden?;Nein;Ja (Versetzung/Besetzung);Nur bei Hitze;Nur bei Azubis;B;§ 99 BetrVG;Bei Einstellungen und Versetzungen in Betrieben mit mehr als 20 Wahlberechtigten hat der Betriebsrat ein Mitbestimmungsrecht.
18;Freistellung;Was ist der Grundsatz für BR-Schulungen?;Freiwillig;Erforderlichkeit;Lust und Laune;Nur für den Vorsitz;B;§ 37 Abs. 6 BetrVG;Der AG trägt die Kosten für Schulungen, wenn diese Kenntnisse vermitteln, die für die Arbeit des Betriebsrats erforderlich sind.
